id,Title,user,start_date,start_time,end_time,address,description,no_of_volunteers_needed,no_of_volunteers_signed_up,created_at,updated_at,country,owned_by_user_id,images
1,Working with Youths - Tutoring,Care Corner Family Service Centre (Tampines),7/7/2016,7:00 PM,9:00 PM,Marine Terrace,An opportunity to contribute back to our community.- Is able to commit at least once a week until after N Level examination.- Comfortable to teach N Level Principles of Accounting. Please note that this activity is managed by Care Corner FSC (Tampines). Staff of Care Corner FSC (Tampines) will contact volunteers who have signed up for this activity.,4,2,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,1,http://www.traveldailynews.asia/uploads/images/Princess_Cruises%E2%80%99_CSR_programme.jpg
2,Game Sessions with Elderly,St. Hildas Community Services Centre,7/11/2016,2:00 PM,4:00 PM,10 Jalan Batu #01-06,An afternoon of games and activities for the residents.Please note that this activity is managed by St. Hildas Community Services Centre. Staff of St. Hildas Community Services Centre will contact volunteers who have signed up for this activity.,6,9,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,2,http://old.sna.org.sg/site/images/stories/group3.JPG
3,Hot meals home delivery for elderly,Calvary Community Care,7/12/2016,9:00 AM,12:00 PM,Blk 147 Potong Pasir Ave 1 #02-83,A series of Health Talks for our elderly to equip them with some knowledge about different health care. Please note that this activity is managed by Calvary Community Care. Staff of Calvary Community Care will contact volunteers who have signed up for this activity.,9,7,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,3,http://c8.alamy.com/comp/FKJCBW/elderly-singaporeans-queuing-for-free-food-given-out-by-the-singapore-FKJCBW.jpg
4,Hot meals home delivery for elderly,Care Corner Family Service Centre (Tampines),7/13/2016,7:00 PM,9:00 PM,Marine Terrace,An opportunity to contribute back to our community.- Is able to commit at least once a week until after N Level examination.- Comfortable to teach N Level Principles of Accounting. Please note that this activity is managed by Care Corner FSC (Tampines). Staff of Care Corner FSC (Tampines) will contact volunteers who have signed up for this activity.,1,1,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,1,http://news.asiaone.com/sites/default/files/original_images/Jan2014/elderlydinner_st.jpg
5,Hot meals home delivery for elderly,Presbyterian Community Services,7/13/2016,2:00 PM,4:30 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,1,3,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.channelnewsasia.com/blob/2042012/1439255315000/beijing-elderly-data.jpg
6,Hot meals home delivery for elderly,Presbyterian Community Services,7/7/2016,9:00 AM,12:00 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,9,5,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://c8.alamy.com/comp/FKJCBX/elderly-and-needy-singaporean-tuck-in-to-free-food-given-out-by-the-FKJCBX.jpg
7,Hot meals home delivery for elderly,Presbyterian Community Services,7/11/2016,2:00 PM,4:30 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,5,3,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://news.asiaone.com/sites/default/files/original_images/Jan2014/20140129-meals.jpg
8,Hot meals home delivery for elderly,Presbyterian Community Services,7/7/2016,2:00 PM,4:30 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,0,4,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.channelnewsasia.com/blob/2485322/1454510715000/uob-willing-hearts-data.jpg
9,Working with Youths - Tutoring,Care Corner Family Service Centre (Tampines),7/6/2016,7:00 PM,9:00 PM,Marine Terrace,An opportunity to contribute back to our community.- Is able to commit at least once a week until after N Level examination.- Comfortable to teach N Level Principles of Accounting. Please note that this activity is managed by Care Corner FSC (Tampines). Staff of Care Corner FSC (Tampines) will contact volunteers who have signed up for this activity.,8,10,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,1,http://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2013/01/MINDS-1.jpg
10,Hot meals home delivery for elderly,Presbyterian Community Services,7/11/2016,9:00 AM,12:00 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,0,2,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.ywca.org.sg/wp-content/uploads/2014/10/SAM_0354.jpg
11,Flyer Distribution,Harvest Care Centre,7/9/2016,10:00 AM,1:00 PM,165 Sims Avenue #04-01 Harvest Care Centre,Volunteers are given opportunity to volunteer in this Sports Carnival on 8 October  reaching out to youths-at-risk and at large  as an admin I/C  scorekeeper  or team managers. Level 1 Volunteer â€“ Discovering Self Workshop  and actual day volunteer on 8 October 2016 @ CCAB. This is a volunteer training workshop. Please note that this activity is managed by Harvest Care Centre. Staff of Harvest Care Centre will contact volunteers who have signed up for this activity.,1,9,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,5,http://www.honeykidsasia.com/wp-content/uploads/2014/08/Foodbank-1.jpg
12,Flyer Distribution,Harvest Care Centre,7/9/2016,10:00 AM,1:00 PM,165 Sims Avenue #04-01 Harvest Care Centre,To bring awareness to residents about our studentcare centre programmes. Please note that this activity is managed by Harvest Care Centre. Staff of Harvest Care Centre will contact volutneers who have signed up for this activity.,9,3,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,5,http://www.comchest.org.sg/comchest/Portals/0/CharityUserFolder/Givingasacorporate/SP_Brighthill_3.JPG
13,Hot meals home delivery for elderly,Presbyterian Community Services,7/8/2016,9:00 AM,12:00 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,2,7,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.aware.org.sg/wp-content/uploads/caregiver.jpeg
14,Hot meals home delivery for elderly,Presbyterian Community Services,7/12/2016,2:00 PM,4:30 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,9,2,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.straitstimes.com/sites/default/files/articles/2014/01/29/sjc03food2901e_2x.jpg
15,Hot meals home delivery for elderly,Presbyterian Community Services,7/8/2016,2:00 PM,4:30 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,8,2,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://3.bp.blogspot.com/-UTpdXZHIrig/U2rs9dzT7XI/AAAAAAAAFTk/9TqupDWeZH8/s1600/P1010249.JPG
16,Hot meals home delivery for elderly,Presbyterian Community Services,7/12/2016,9:00 AM,12:00 PM,Blk 105 Jalan Bukit Merah #01-1912,To assist in hot meals delivery to the home of the frail elderly. Boundaries served: Jalan Bukit Merah  Queenstown  Commonwealth  Holland close  Ghim Moh  Dover  Clementi  West Coast  Pandan Garden Teban Garden. Please note that this activity is managed by Presbyterian Community Services. Staff of Presbyterian Community Services will contact volunteers who have signed up for this activity.,2,9,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,4,http://www.channelnewsasia.com/blob/2701160/1460775638000/grace-fu-data.jpg
17,Bingo with The Elderly @Ren Ci Community Hospital,SG Cares VL Group,7/10/2016,10:00 AM,12:00 PM,Ren Ci Community Hospital  71 Irrawaddy Road Singapore 329562 ,Ren Ci Community Hospital is a charity healthcare organisation committed to providing high quality and affordable medical care for the needy sick  based on the principles of loving kindness and compassion. We hope to recruit volunteers to play Bingo with our wheelchair-bound residents. Volunteers will spend time interacting and befriending our elderly. Bingo session will be held at wards 11  12 and 13. Each floor will have a separate Bingo session and music performance.,0,5,2016-06-29 14:40:48,2016-06-29 14:40:48,Singapore,6,http://www.straitstimes.com/sites/default/files/styles/article_pictrure_780x520_/public/articles/2016/02/25/37565554_-_25_02_2016_-_sytt26.jpg?itok=YBC5TZ5i